rdfs:label	MEOWL short label	BCO-DMO unit	other unit	From Ken's list of all fields	From Hurowitz CAMERA data.xls	category	BCO-DMO short name	MIxS package	maps to MIxS term	other synonyms
longitude	longitude			longitude	LONGITUDE	location				
site description	site_description			other_collection_site_info	-	location				
region	region			region	REGION	location				
need to check data	site_name			sample_collection_site	-	location				
depth	depth		unknown	sample_depth	sample depth	location		multi	depth | total depth of water column	
depth	depth		m	sample_depth_m	sample depth - (M)	location		multi	depth	
depth	depth		m	sample_depth_m	sample depth - (m)	location		multi	depth	
depth	depth		unknown	site_depth	SITE_DEPTH	location				
site description	site_description			site_description	SITE_DESCRIPTION	location				
site name	site_name			site_name	SITE_NAME	location				
water depth	water_depth		unknown	water_depth	water depth	location				
water depth	water_depth		m	water_depth_m	water depth - (m)	location		water	depth | total depth of water column	
				additional_citations	-	misc				
				annotations_file	-	misc				
				assembly_accession_number	-	misc				
				combined_assembly_name	-	misc				
				comment	Comment	misc				
				comments	COMMENTS	misc				
				contigs_file	-	misc				
need to check data				description	DESCRIPTION	misc				
				doc	-	misc				
				gene_name	gene name	misc				
investigation type	investigation_type		categorical	investigation_type	-	misc				
				isolation_method	-	misc				
				list_of_amino_acids_and_concentrations_with_units	-	misc				
	mmetsp_id			mmetsp_id	-	misc				
				num_of_reads	NUM_OF_READS	misc				
				number_of_samples_pooled	number of samples pooled	misc			move to project?	
				pcr_amp	-	misc				
				peptides_file	-	misc				
				phage_type	phage type	misc				
				primary_citation	-	misc				
				principle_investigator	-	misc				
				project_id	-	misc				
				reads_file	-	misc				
				rrna_16s	-	misc				
				rrna_18s	-	misc				
				sequencing_method	SEQUENCING_METHOD	misc				
				template_preparation_method	Template preparation method	misc		multi	temperature	
atmospheric pressure	atm_pressure		atm	atmospheric_pressure_atm	atmospheric/pressure - (atm)	physical		air	pressure	
day portion of day night cycle	day_portion_of_day_night_cycle		h	day_portion_of_day_night_cycle_in_hours	-	physical				
environmental temperature	temp_env			environmental_temperature	-	physical				
experimental temperature	temp_exp			experimental_temperature	-	physical				
no units				light	Light	physical				
light intensity	light_intensity		umol/m^2/s	light_intensity_umol_m2_s	Light Intensity - (umol/m2/s)	physical		water	light intensity	
night portion of day night cycle	night_portion_of_day_night_cycle		h	night_portion_of_day_night_cycle_in_hours	-	physical				
pressure	pressure		unknown	pressure	-	physical				
atmospheric pressure	atm_pressure		atm	pressure_atm	pressure - (atm)	physical		multi	pressure	
temperature	temperature		unknown	temperature	temperature	physical				
temperature	temperature		degrees C	temperature_c	temperature - (C)	physical		multi	temperature	
wave height	wave_height		m	wave_height_m	water depth - (M)	physical		water	depth	
wave height	wave_height		m	wave_height_m	wave height - (m)	physical		water	depth | total depth of water column	
collection date	collection_date			collection_date	-	process				
collection start time	collection_start_time			collection_start_time	COLLECTION_START_TIME	process				
collection stop time	collection_stop_time			collection_stop_time	COLLECTION_STOP_TIME	process				
collection time	collection_time			collection_time	-	process				
experiment date	experiment_date			date_of_experiment	-	process				
filter fraction maximum	filter_fraction_maximum			filter_fraction_maximum	-	process				
